,bin_width,corr_coef,first_cell_id,p_value,region,second_cell_id,stim_id
17577,1.5,0.4426528767606024,3592,0.20016260111329104,striatum,3522,10
17578,1.5,0.569949895319033,3592,0.08540538731323599,striatum,3129,10
17579,1.5,-0.49992603083970905,3587,0.1411815539039651,striatum,3522,10
17580,1.5,-0.23206346760003335,3587,0.5188272445448578,striatum,3129,10
17581,1.5,0.8446148274427641,3522,0.0021049915091420827,striatum,3129,10
17582,1.6,0.8071204490686359,3449,0.00476315928767963,striatum,3592,10
17583,1.6,-0.24818627798572523,3449,0.4893158909091637,striatum,3587,10
17584,1.6,0.6894187377443008,3449,0.027412434626260182,striatum,3522,10
17585,1.6,0.7777022430452414,3449,0.008089274822723912,striatum,3129,10
17586,1.6,-0.420439136359989,3592,0.22634841517354182,striatum,3587,10
17587,1.6,0.4385502354426916,3592,0.20485945369220174,striatum,3522,10
17588,1.6,0.5605975685945178,3592,0.09185150944626844,striatum,3129,10
17589,1.6,-0.41484967514641363,3587,0.2332283457000524,striatum,3522,10
17590,1.6,-0.1584629202796182,3587,0.6619362486185163,striatum,3129,10
17591,1.6,0.8496798420731948,3522,0.0018555648594746777,striatum,3129,10
17592,1.7,0.8290694885760376,3449,0.0030218824406447924,striatum,3592,10
17593,1.7,-0.09242995732772959,3449,0.7995280056412347,striatum,3587,10
17594,1.7,0.6697335816628788,3449,0.03412750542434745,striatum,3522,10
17595,1.7,0.7567406457534656,3449,0.011285384048360592,striatum,3129,10
17596,1.7,-0.26708252942264615,3592,0.4556793951454977,striatum,3587,10
17597,1.7,0.46975507925367044,3592,0.17072295875848778,striatum,3522,10
17598,1.7,0.5610499752363806,3592,0.09153275581063076,striatum,3129,10
17599,1.7,-0.35508871768493583,3587,0.3139961371215464,striatum,3522,10
17600,1.7,-0.07522440356888552,3587,0.8363746199730372,striatum,3129,10
17601,1.7,0.8391753904352635,3522,0.0023989113918936604,striatum,3129,10
17602,1.8,0.846820116627943,3449,0.0019935937914075117,striatum,3592,10
17603,1.8,-0.08852755851692141,3449,0.8078565340282394,striatum,3587,10
17604,1.8,0.6686561251776605,3449,0.03452431870348866,striatum,3522,10
17605,1.8,0.7920514197513618,3449,0.006311091074522844,striatum,3129,10
17606,1.8,-0.22782459718092057,3592,0.5267053088938033,striatum,3587,10
17607,1.8,0.4477692418850886,3592,0.19439378405944682,striatum,3522,10
17608,1.8,0.6223483307547403,3592,0.054665194656198915,striatum,3129,10
17609,1.8,-0.2865938366688233,3587,0.4220809968157617,striatum,3522,10
17610,1.8,-0.025643989476024625,3587,0.9439406481431889,striatum,3129,10
17611,1.8,0.8140127790721156,3522,0.004154705793724981,striatum,3129,10
17612,1.9,0.8756456840114694,3449,0.000898040177647592,striatum,3592,10
17613,1.9,-0.08352117343082631,3449,0.8185666017041515,striatum,3587,10
17614,1.9,0.7055172601810958,3449,0.022641476448863877,striatum,3522,10
17615,1.9,0.8069202325004668,3449,0.004781731852580093,striatum,3129,10
17616,1.9,-0.20949254840254175,3592,0.5613229237114119,striatum,3587,10
17617,1.9,0.47001097693755617,3592,0.1704581222401249,striatum,3522,10
17618,1.9,0.6476990795003152,3592,0.042875459717368614,striatum,3129,10
