,region,cell_id,stim_id,firing_rate_mean,firing_rate_std,num_samples,bin_width
330,motor_cortex,3456,8,15.45,36.56454543668631,2000,0.01
331,motor_cortex,3456,9,14.8,35.6594419179402,2000,0.01
332,motor_cortex,3456,10,19.6,40.455634084322355,2000,0.01
333,motor_cortex,3456,11,21.15,43.34301337475516,2000,0.01
334,motor_cortex,3456,12,16.0,37.211454502250895,2000,0.01
335,motor_cortex,3456,13,18.35,39.1029669080302,2000,0.01
336,motor_cortex,3456,14,16.45,38.53751509938095,2000,0.01
337,motor_cortex,3456,15,18.65,41.80970611906861,2000,0.01
338,motor_cortex,3456,16,18.944444444444443,39.62017024428221,1800,0.01
339,motor_cortex,3456,17,17.0,38.493387359846864,2000,0.01
340,motor_cortex,3460,1,18.6,39.43117305767548,2000,0.01
341,motor_cortex,3460,2,19.1,40.694201171721026,2000,0.01
342,motor_cortex,3460,3,18.15,39.32366558877328,2000,0.01
343,motor_cortex,3460,4,19.75,40.81385040880847,2000,0.01
344,motor_cortex,3460,5,19.15,40.36201241294851,2000,0.01
345,motor_cortex,3460,6,17.6,38.61328129991512,2000,0.01
346,motor_cortex,3460,7,14.3,35.862976403782625,2000,0.01
347,motor_cortex,3460,8,18.05,38.599772942798765,2000,0.01
348,motor_cortex,3460,9,17.9,38.863159580588544,2000,0.01
349,motor_cortex,3460,10,17.95,40.169693826952106,2000,0.01
350,motor_cortex,3460,11,18.15,38.81147594890803,2000,0.01
351,motor_cortex,3460,12,18.3,38.934148686814574,2000,0.01
352,motor_cortex,3460,13,15.95,36.759667253231314,2000,0.01
353,motor_cortex,3460,14,14.2,35.199140468836376,2000,0.01
354,motor_cortex,3460,15,17.5,39.17291486000645,2000,0.01
355,motor_cortex,3460,16,16.61111111111111,37.22837724288883,1800,0.01
356,motor_cortex,3460,17,13.65,34.485825146979366,2000,0.01
357,motor_cortex,3463,1,18.65,43.337242162822726,2000,0.01
358,motor_cortex,3463,2,18.8,43.56040351485726,2000,0.01
359,motor_cortex,3463,3,15.25,39.53756580209227,2000,0.01
360,motor_cortex,3463,4,19.7,44.3045307584096,2000,0.01
361,motor_cortex,3463,5,16.5,41.3352670506805,2000,0.01
362,motor_cortex,3463,6,15.55,40.422945306516525,2000,0.01
363,motor_cortex,3463,7,12.3,36.04663201798358,2000,0.01
364,motor_cortex,3463,8,17.7,43.90528256279031,2000,0.01
365,motor_cortex,3463,9,17.65,43.63977216779925,2000,0.01
366,motor_cortex,3463,10,17.7,42.98411121459248,2000,0.01
367,motor_cortex,3463,11,17.35,42.010236014154714,2000,0.01
368,motor_cortex,3463,12,22.65,49.630727423162675,2000,0.01
369,motor_cortex,3463,13,16.05,40.47488861385724,2000,0.01
370,motor_cortex,3463,14,11.7,34.259259309334325,2000,0.01
371,motor_cortex,3463,15,17.25,43.68514273580807,2000,0.01
