cluster_id,amplitude,depth,group,probe,region
314,99.47722985545413,758.5516188617022,good,frontal,striatum
316,143.8322964284146,720.4380985887061,good,frontal,striatum
317,114.13382067563872,130.38376277157056,good,frontal,striatum
320,79.22538366440429,1111.4395754785062,good,frontal,striatum
321,394.22667969666026,959.6669439100776,good,frontal,striatum
323,125.04355910638407,1960.0,good,frontal,motor_cortex
326,160.49649512931967,744.3867125304515,good,frontal,striatum
327,97.10980605624563,2664.0481668383873,good,frontal,motor_cortex
331,75.02901725729534,2909.4931753487517,mua,frontal,motor_cortex
333,160.12215571970927,1231.6178431025805,good,frontal,striatum
334,225.17745347265364,206.10643149701357,unsorted,frontal,striatum
335,133.87418226488677,2943.293214429109,good,frontal,motor_cortex
336,81.45800176934172,479.84489463107144,good,frontal,striatum
338,65.38785059354858,628.6606279161069,mua,frontal,striatum
340,154.25731693657647,513.5935929511608,mua,frontal,striatum
343,235.58731252532934,998.1448316832119,unsorted,frontal,striatum
347,150.06223279902636,2597.738029174618,good,frontal,motor_cortex
352,148.36332777609928,2574.7308442070344,good,frontal,motor_cortex
353,62.67157360606869,2160.1307872763027,mua,frontal,motor_cortex
355,333.71819120744556,860.1985235557073,good,frontal,striatum
356,123.35033913154513,226.53337899846267,good,frontal,striatum
358,99.26699237614781,2236.4729570116215,mua,frontal,motor_cortex
359,75.49810877460757,2055.902894990708,good,frontal,motor_cortex
364,50.343439296912585,2581.530889937216,mua,frontal,motor_cortex
366,246.3722972682392,2243.2069755616367,good,frontal,motor_cortex
367,67.5788010946068,3085.947071464072,mua,frontal,motor_cortex
369,196.57698407435643,218.22665323933276,mua,frontal,striatum
370,238.98124435869212,2321.5174144796406,mua,frontal,motor_cortex
372,318.1579714454727,924.8510059874565,good,frontal,striatum
375,81.67452494528293,2605.5674442436134,mua,frontal,motor_cortex
376,88.44515124928641,2912.2205055294526,good,frontal,motor_cortex
377,156.00831715279318,1018.5970963849273,mua,frontal,striatum
378,84.17941041278058,713.7988756833304,mua,frontal,striatum
393,82.95016758043079,1005.3390953252089,mua,frontal,striatum
394,115.9197819029365,819.9999999999999,good,frontal,striatum
395,101.57846466501927,2919.680071909782,good,frontal,motor_cortex
403,53.505747788933505,2086.1934022086148,mua,frontal,motor_cortex
405,70.66868410572167,1800.0,mua,frontal,motor_cortex
406,82.0672308923955,2464.108961416921,mua,frontal,motor_cortex
407,69.18025611842242,2581.735698152617,mua,frontal,motor_cortex
409,75.75566268507548,3123.2546952365833,good,frontal,motor_cortex
411,93.98224956963213,765.0617866539064,good,frontal,striatum
417,118.54462416565738,825.1642161719427,good,frontal,striatum
419,76.17036986207236,1834.7800785107356,good,frontal,motor_cortex
421,116.57210632563988,652.3686766429898,good,frontal,striatum
422,135.41740132593515,2495.299938214374,good,frontal,motor_cortex
428,54.087014133781096,572.1570979176673,good,frontal,striatum
429,150.42134417226106,206.16541344785952,good,frontal,striatum
433,69.01432479855261,2993.1298947093114,mua,frontal,motor_cortex
434,98.6681291375323,2715.5863537455466,mua,frontal,motor_cortex
437,63.910208633763666,2554.841506077075,mua,frontal,motor_cortex
440,179.8133982265223,1194.4050084579796,good,frontal,striatum
443,138.65235789423784,151.72802098189658,unsorted,frontal,striatum
447,69.96809860925983,2696.5574523133687,mua,frontal,motor_cortex
449,175.6591230524512,2864.323577169325,good,frontal,motor_cortex
451,89.4881369013905,834.430537402895,mua,frontal,striatum
453,119.91656583706106,1187.7974420721305,mua,frontal,striatum
458,72.89522885035018,3067.987658634459,mua,frontal,motor_cortex
461,76.54758391666255,106.42296237090142,good,frontal,striatum
462,104.65623391128567,2526.994000671205,mua,frontal,motor_cortex
463,50.327474829367304,2118.2493581283793,mua,frontal,motor_cortex
